taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo
Anastomosis	 1	 1	 1	 5.05	 0.86	 0.81	
Anastomosis	 1	 1	 2	 8.54	 1.53	 1.34	
Australian	 1	 1	 1	 102.94	 104.59	 8.05	
Australian	 1	 1	 2	 102.94	 104.59	 8.05	
Congressional_Voting	 1	 1	 1	 105.54	 106.23	 5.72	
Congressional_Voting	 1	 1	 2	 108.66	 109.48	 5.88	
Echo_cardiogram	 1	 1	 1	 18.12	 16.37	 2.96	
Echo_cardiogram	 1	 1	 2	 17.84	 15.85	 2.65	
German	 1	 1	 1	 33.45	 31.32	 4.91	
German	 1	 1	 2	 33.45	 31.32	 4.91	
Heart_Disease	 1	 1	 1	 27.88	 23.07	 4.50	
Heart_Disease	 1	 1	 2	 30.73	 24.39	 4.41	
Hepatitis	 1	 1	 1	 10.50	 4.52	 1.64	
Hepatitis	 1	 1	 2	 10.94	 5.24	 1.92	
Ionosphere	 1	 1	 1	 40.83	 37.18	 6.96	
Ionosphere	 1	 1	 2	 40.61	 38.77	 5.84	
Labor_Relations	 1	 1	 1	 7.41	 3.31	 1.34	
Labor_Relations	 1	 1	 2	 7.01	 3.66	 1.55	
Liver_Disorders	 1	 1	 1	 8.00	 3.14	 1.71	
Liver_Disorders	 1	 1	 2	 9.23	 5.81	 2.87	
Molecular_Biology	 1	 1	 1	 8.54	 4.55	 2.09	
Molecular_Biology	 1	 1	 2	 14.12	 9.10	 1.83	
Mushrooms	 1	 1	 1	 1489.96	 1493.18	 25.05	
Mushrooms	 1	 1	 2	 1006.00	 1004.99	 20.71	
Sonar	 1	 1	 1	 15.89	 10.41	 4.15	
Sonar	 1	 1	 2	 15.29	 9.83	 4.11	
Thyroid_Disease	 1	 1	 1	 104.74	 100.78	 12.90	
Thyroid_Disease	 1	 1	 2	 180.95	 176.67	 20.75	
Wdbc	 1	 1	 1	 113.35	 101.65	 7.69	
Wdbc	 1	 1	 2	 101.93	 95.16	 11.30	
Wisconsin_Breast_Cancer	 1	 1	 1	 143.77	 134.66	 9.56	
Wisconsin_Breast_Cancer	 1	 1	 2	 144.04	 132.89	 10.54	
Wpbc	 1	 1	 1	 6.90	 1.69	 1.16	
Wpbc	 1	 1	 2	 7.40	 1.29	 1.12	
faults	 1	 1	 1	 114.28	 101.00	 10.64	
faults	 1	 1	 2	 119.16	 112.15	 10.57	
statlog	 1	 1	 1	 320.72	 321.97	 13.53	
statlog	 1	 1	 2	 325.61	 327.61	 12.78	
waveform	 1	 1	 1	 464.42	 445.67	 20.95	
waveform	 1	 1	 2	 427.90	 414.25	 19.82	
wine	 1	 1	 1	 157.88	 150.97	 13.97	
wine	 1	 1	 2	 165.05	 156.90	 14.20	
Anastomosis	 1	 2	 1	 5.13	 0.64	 0.78	
Anastomosis	 1	 2	 2	 8.53	 1.49	 1.37	
Australian	 1	 2	 1	 103.11	 104.44	 7.71	
Australian	 1	 2	 2	 103.11	 104.44	 7.71	
Congressional_Voting	 1	 2	 1	 105.63	 106.12	 5.84	
Congressional_Voting	 1	 2	 2	 108.83	 109.39	 6.61	
Echo_cardiogram	 1	 2	 1	 17.82	 16.47	 3.23	
Echo_cardiogram	 1	 2	 2	 17.79	 15.91	 2.72	
German	 1	 2	 1	 33.49	 31.27	 4.50	
German	 1	 2	 2	 33.49	 31.27	 4.50	
Heart_Disease	 1	 2	 1	 27.42	 23.15	 4.85	
Heart_Disease	 1	 2	 2	 30.49	 24.66	 4.13	
Hepatitis	 1	 2	 1	 10.41	 4.62	 1.68	
Hepatitis	 1	 2	 2	 10.86	 5.30	 2.04	
Ionosphere	 1	 2	 1	 41.27	 35.24	 8.35	
Ionosphere	 1	 2	 2	 40.91	 37.67	 7.21	
Labor_Relations	 1	 2	 1	 7.16	 3.42	 1.35	
Labor_Relations	 1	 2	 2	 6.82	 3.84	 1.57	
Liver_Disorders	 1	 2	 1	 8.00	 3.11	 1.65	
Liver_Disorders	 1	 2	 2	 9.63	 5.74	 2.71	
Molecular_Biology	 1	 2	 1	 8.54	 4.81	 2.13	
Molecular_Biology	 1	 2	 2	 13.95	 9.24	 1.70	
Mushrooms	 1	 2	 1	 1490.72	 1492.44	 27.66	
Mushrooms	 1	 2	 2	 1006.36	 1004.61	 19.47	
Sonar	 1	 2	 1	 16.39	 10.58	 4.09	
Sonar	 1	 2	 2	 15.87	 9.68	 3.78	
Thyroid_Disease	 1	 2	 1	 105.43	 100.64	 12.35	
Thyroid_Disease	 1	 2	 2	 180.43	 174.10	 21.02	
Wdbc	 1	 2	 1	 113.14	 101.25	 7.87	
Wdbc	 1	 2	 2	 101.87	 94.25	 11.96	
