taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo	RuleLength	ExtraOptions
Anastomosis	 2	 1	 1	 6.41	 0.76	 0.89	 1.38	 stabilize=no, prune=no, postStabilize=no	
Anastomosis	 2	 1	 2	 12.04	 1.44	 1.40	 1.78	 stabilize=no, prune=no, postStabilize=no	
Anastomosis	 2	 1	 1	 6.92	 0.71	 0.84	 1.68	 stabilize=yes, prune=no, postStabilize=no	
Anastomosis	 2	 1	 2	 12.74	 1.19	 1.40	 1.80	 stabilize=yes, prune=no, postStabilize=no	
Anastomosis	 2	 1	 1	 5.44	 0.82	 0.80	 1.16	 stabilize=yes, prune=yes, postStabilize=no	
Anastomosis	 2	 1	 2	 9.44	 1.56	 1.36	 1.36	 stabilize=yes, prune=yes, postStabilize=no	
Anastomosis	 2	 1	 1	 5.31	 0.79	 0.77	 1.15	 stabilize=yes, prune=yes, postStabilize=yes	
Anastomosis	 2	 1	 2	 9.62	 1.62	 1.40	 1.37	 stabilize=yes, prune=yes, postStabilize=yes	
Australian	 2	 1	 1	 105.44	 99.91	 8.88	 1.24	 stabilize=no, prune=no, postStabilize=no	
Australian	 2	 1	 2	 105.51	 100.59	 8.71	 1.28	 stabilize=no, prune=no, postStabilize=no	
Australian	 2	 1	 1	 105.05	 102.12	 8.23	 1.80	 stabilize=yes, prune=no, postStabilize=no	
Australian	 2	 1	 2	 105.41	 102.54	 8.89	 1.93	 stabilize=yes, prune=no, postStabilize=no	
Australian	 2	 1	 1	 102.81	 104.29	 7.96	 1.13	 stabilize=yes, prune=yes, postStabilize=no	
Australian	 2	 1	 2	 103.52	 103.39	 8.77	 1.36	 stabilize=yes, prune=yes, postStabilize=no	
Australian	 2	 1	 1	 106.36	 101.11	 7.57	 1.14	 stabilize=yes, prune=yes, postStabilize=yes	
Australian	 2	 1	 2	 106.67	 100.66	 7.82	 1.29	 stabilize=yes, prune=yes, postStabilize=yes	
Congressional_Voting	 2	 1	 1	 105.28	 106.48	 5.55	 1.00	 stabilize=no, prune=no, postStabilize=no	
Congressional_Voting	 2	 1	 2	 108.50	 109.22	 6.05	 1.02	 stabilize=no, prune=no, postStabilize=no	
Congressional_Voting	 2	 1	 1	 106.40	 105.34	 5.52	 1.00	 stabilize=yes, prune=no, postStabilize=no	
Congressional_Voting	 2	 1	 2	 109.55	 108.56	 5.80	 1.00	 stabilize=yes, prune=no, postStabilize=no	
Congressional_Voting	 2	 1	 1	 105.73	 106.06	 5.91	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Congressional_Voting	 2	 1	 2	 109.43	 108.68	 6.17	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Congressional_Voting	 2	 1	 1	 105.56	 106.17	 5.80	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Congressional_Voting	 2	 1	 2	 108.54	 109.48	 5.66	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Echo_cardiogram	 2	 1	 1	 20.72	 18.72	 1.67	 1.00	 stabilize=no, prune=no, postStabilize=no	
Echo_cardiogram	 2	 1	 2	 19.95	 16.43	 2.84	 1.25	 stabilize=no, prune=no, postStabilize=no	
Echo_cardiogram	 2	 1	 1	 20.70	 18.73	 1.92	 1.03	 stabilize=yes, prune=no, postStabilize=no	
Echo_cardiogram	 2	 1	 2	 19.83	 16.69	 2.67	 1.26	 stabilize=yes, prune=no, postStabilize=no	
Echo_cardiogram	 2	 1	 1	 20.75	 18.44	 1.89	 1.02	 stabilize=yes, prune=yes, postStabilize=no	
Echo_cardiogram	 2	 1	 2	 19.47	 15.58	 3.08	 1.15	 stabilize=yes, prune=yes, postStabilize=no	
Echo_cardiogram	 2	 1	 1	 20.68	 18.81	 1.67	 1.01	 stabilize=yes, prune=yes, postStabilize=yes	
Echo_cardiogram	 2	 1	 2	 19.34	 16.35	 2.73	 1.09	 stabilize=yes, prune=yes, postStabilize=yes	
German	 2	 1	 1	 38.40	 30.41	 5.39	 2.00	 stabilize=no, prune=no, postStabilize=no	
German	 2	 1	 2	 36.93	 30.33	 4.96	 1.99	 stabilize=no, prune=no, postStabilize=no	
German	 2	 1	 1	 39.27	 29.91	 5.52	 2.00	 stabilize=yes, prune=no, postStabilize=no	
German	 2	 1	 2	 38.15	 29.78	 5.03	 2.00	 stabilize=yes, prune=no, postStabilize=no	
German	 2	 1	 1	 36.55	 30.40	 6.68	 1.91	 stabilize=yes, prune=yes, postStabilize=no	
German	 2	 1	 2	 35.05	 30.31	 6.28	 1.72	 stabilize=yes, prune=yes, postStabilize=no	
German	 2	 1	 1	 36.94	 30.56	 6.78	 1.93	 stabilize=yes, prune=yes, postStabilize=yes	
German	 2	 1	 2	 35.64	 30.35	 6.10	 1.78	 stabilize=yes, prune=yes, postStabilize=yes	
Heart_Disease	 2	 1	 1	 30.74	 25.53	 5.74	 1.93	 stabilize=no, prune=no, postStabilize=no	
Heart_Disease	 2	 1	 2	 32.66	 22.94	 4.22	 1.89	 stabilize=no, prune=no, postStabilize=no	
Heart_Disease	 2	 1	 1	 31.26	 24.23	 5.43	 1.93	 stabilize=yes, prune=no, postStabilize=no	
Heart_Disease	 2	 1	 2	 33.47	 22.68	 4.05	 1.89	 stabilize=yes, prune=no, postStabilize=no	
Heart_Disease	 2	 1	 1	 30.62	 24.21	 5.84	 1.66	 stabilize=yes, prune=yes, postStabilize=no	
Heart_Disease	 2	 1	 2	 32.22	 23.20	 4.72	 1.45	 stabilize=yes, prune=yes, postStabilize=no	
