Cap-shape;[bell=0,conical=1,convex=2,flat=3,knobbed=4,sunken=5]
Cap-surface;[fibrous=0,grooves=1,scaly=2,smooth=3]
Cap-color;[brown=0,buff=1,cinnamon=2,gray=3,green=4,pink=5,purple=6,red=7,white=8,yellow=9]
Bruises?;[no=0,bruises=1]
Odor;[almond=0,anise=1,creosote=2,fishy=3,foul=4,musty=5,none=6,pungent=7,spicy=8]
Gill-attachment;[attached=0,free=1]
Gill-spacing;[close=0,crowded=1]
Gill-size;[broad=0,narrow=1]
Gill-color;[black=0,brown=1,buff=2,chocolate=3,gray=4,green=5,orange=6,pink=7,purple=8,red=9,white=10,yellow=11]
Stalk-shape;[enlarging=0,tapering=1]
Stalk-root;[bulbous=0,club=1,equal=2,rooted=3]
Stalk-surface-above-ring;[fibrous=0,scaly=1,silky=2,smooth=3]
Stalk-surface-below-ring;[fibrous=0,scaly=1,silky=2,smooth=3]
Stalk-color-above-ring;[brown=0,buff=1,cinnamon=2,gray=3,orange=4,pink=5,red=6,white=7,yellow=8]
Stalk-color-below-ring;[brown=0,buff=1,cinnamon=2,gray=3,orange=4,pink=5,red=6,white=7,yellow=8]
Veil-color;[brown=0,orange=1,white=2,yellow=3]
Ring-number;[none=0,one=1,two=2]
Ring-type;[evanescent=0,flaring=1,large=2,none=3,pendant=4
Spore-print-color;[black=0,brown=1,buff=2,chocolate=3,green=4,orange=5,purple=6,white=7,yellow=8]
Population;[abundant=0,clustered=1,numerous=2,scattered=3,several=4,solitary=5]
Habitat;[grasses=0,leaves=1,meadows=2,paths=3,urban=4,waste=5,woods=6]
